Control Framework,Control Number,Question ID,Question,Question Ordering
NIST Cybersecurity Framework (CSF),ID.AM-1,1,Are physical devices and systems within the organization are inventoried?,1
NIST Cybersecurity Framework (CSF),ID.AM-2,2,Are software platforms and applications within the organization inventoried?,2
NIST Cybersecurity Framework (CSF),ID.AM-3,3,Are organizational communication and data flows mapped?,3
NIST Cybersecurity Framework (CSF),ID.AM-4,4,Are external information systems catalogued?,4
NIST Cybersecurity Framework (CSF),ID.AM-5,5,"Are resources (e.g., hardware, devices, data, time, personnel, and software) prioritized based on their classification, criticality, and business value?",5
NIST Cybersecurity Framework (CSF),ID.AM-6,6,"Are cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) established?",6
NIST Cybersecurity Framework (CSF),ID.BE-1,7,Are the organization’s role in the supply chain identified and communicated?,7
NIST Cybersecurity Framework (CSF),ID.BE-2,8,Are the organization’s place in critical infrastructure and its industry sector identified and communicated?,8
NIST Cybersecurity Framework (CSF),ID.BE-3,9,"Are priorities for organizational mission, objectives, and activities are established and communicated",9
NIST Cybersecurity Framework (CSF),ID.BE-4,10,Are dependencies and critical functions for delivery of critical services established?,10
NIST Cybersecurity Framework (CSF),ID.BE-5,11,"Are resilience requirements to support delivery of critical services established for all operating states? (e.g. under duress/attack, during recovery, normal operations)",11
NIST Cybersecurity Framework (CSF),ID.GV-1,12,Are organizational cybersecurity policies established and communicated?,12
NIST Cybersecurity Framework (CSF),ID.GV-2,13,Are cybersecurity roles and responsibilities coordinated and aligned with internal roles and external partners?,13
NIST Cybersecurity Framework (CSF),ID.GV-3,14,"Are legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, understood and managed?",14
NIST Cybersecurity Framework (CSF),ID.GV-4,15,Are governance and risk management processes in place to address cybersecurity risks?,15
NIST Cybersecurity Framework (CSF),ID.RA-1,16,Are asset vulnerabilities identified and documented?,16
NIST Cybersecurity Framework (CSF),ID.RA-2,17,Is cyber threat intelligence received from information sharing forums and sources?,17
NIST Cybersecurity Framework (CSF),ID.RA-3,18,"Are threats, both internal and external, identified and documented?",18
