Questionnaire Template Name,Question ID,Question,Question Type,Has File,Question Ordering,Answer,Submit Risk,Subject,Owner,Affected Assets,Sub Questions,Risk Scoring Method,Calculated Risk,Classic-Likelihood,Classic-Impact,CVSS-Attack Vector,CVSS-Attack Complexity,CVSS-Authentication,CVSS-Confidentiality Impact,CVSS-Integrity Impact,CVSS-Availability Impact,CVSS-Exploitability,CVSS-Remediation Level,CVSS-Report Confidence,CVSS-Collateral Damage Potential,CVSS-Target Distribution,CVSS-Confidentiality Requirement,CVSS-Integrity Requirement,CVSS-Availability Requirement,DREAD-Damage Potential,DREAD-Reproducibility,DREAD-Exploitability,DREAD-Affected Users,DREAD-Discoverability,OWASP-Skill Level,OWASP-Motive,OWASP-Opportunity,OWASP-Size,OWASP-Ease of Discovery,OWASP-Ease of Exploit,OWASP-Awareness,OWASP-Intrusion Detection,OWASP-Loss of Confidentiality,OWASP-Loss of Integrity,OWASP-Loss of Availability,OWASP-Loss of Accountability,OWASP-Financial Damage,OWASP-Reputation Damage,OWASP-Non-Compliance,OWASP-Privacy Violation,Custom Value,Contributing Likelihood,Contributing Subjects and Impacts
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),1,DCTR-01: Does your company own the physical data center where the Institution's data will reside?,0,0,1,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),2,DCTR-02: Does the hosting provider have a SOC 2 Type 2 report available?,0,0,2,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),3,"DCTR-03: Are the data centers staffed 24 hours a day, seven days a week (i.e., 24x7x365)?",0,0,3,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),4,DCTR-04: Do any of your servers reside in a co-located data center?,0,0,4,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),5,"DCTR-05: Are your servers separated from other companies via a physical barrier, such as a cage or hardened walls?",0,0,5,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),6,DCTR-06: Does a physical barrier fully enclose the physical space preventing unauthorized physical contact with any of your devices?,0,0,6,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),7,DCTR-07: Select the option that best describes the network segment that servers are connected to.,0,0,7,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),8,DCTR-08: Does this data center operate outside of the Institution's Data Zone?,0,0,8,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),9,DCTR-09: Will any institution data leave the Institution's Data Zone?,0,0,9,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - Datacenter (v2.11),10,"DCTR-10: List all datacenters and the cities, states (provinces), and countries where the Institution's data will be stored (including within the Institution's Data Zone).   ",1,0,10,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
