Questionnaire Template Name,Question ID,Question,Question Type,Has File,Question Ordering,Answer,Submit Risk,Subject,Owner,Affected Assets,Sub Questions,Risk Scoring Method,Calculated Risk,Classic-Likelihood,Classic-Impact,CVSS-Attack Vector,CVSS-Attack Complexity,CVSS-Authentication,CVSS-Confidentiality Impact,CVSS-Integrity Impact,CVSS-Availability Impact,CVSS-Exploitability,CVSS-Remediation Level,CVSS-Report Confidence,CVSS-Collateral Damage Potential,CVSS-Target Distribution,CVSS-Confidentiality Requirement,CVSS-Integrity Requirement,CVSS-Availability Requirement,DREAD-Damage Potential,DREAD-Reproducibility,DREAD-Exploitability,DREAD-Affected Users,DREAD-Discoverability,OWASP-Skill Level,OWASP-Motive,OWASP-Opportunity,OWASP-Size,OWASP-Ease of Discovery,OWASP-Ease of Exploit,OWASP-Awareness,OWASP-Intrusion Detection,OWASP-Loss of Confidentiality,OWASP-Loss of Integrity,OWASP-Loss of Availability,OWASP-Loss of Accountability,OWASP-Financial Damage,OWASP-Reputation Damage,OWASP-Non-Compliance,OWASP-Privacy Violation,Custom Value,Contributing Likelihood,Contributing Subjects and Impacts
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),1,DRPL-01: Describe or provide a reference to your Disaster Recovery Plan (DRP).,1,0,1,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),2,DRPL-02: Is an owner assigned who is responsible for the maintenance and review of the DRP?,0,0,2,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),3,DRPL-03: Can the Institution review your DRP and supporting documentation?,0,0,3,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),4,DRPL-04: Are any disaster recovery locations outside the Institution's Data Zone?,0,0,4,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),5,DRPL-05: Does your organization have a disaster recovery site or a contracted Disaster Recovery provider?,0,0,5,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),6,DRPL-06: Does your organization conduct an annual test of relocating to this site for disaster recovery purposes?,0,0,6,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),7,DRPL-07: Is there a defined problem/issue escalation plan in your DRP for impacted clients?,0,0,7,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),8,DRPL-08: Is there a documented communication plan in your DRP for impacted clients?,0,0,8,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),9,"DRPL-09: Describe or provide a reference to how your disaster recovery plan is tested? (i.e. scope of DR tests, end-to-end testing, etc.)",1,0,9,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Higher Education Community Vendor Assessment Tool (HECVAT) - DRP (v2.11),10,DRPL-10: Has the Disaster Recovery Plan been tested in the last year?  Please provide a summary of the results in Additional Information (including actual recovery time).,0,0,10,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
