Questionnaire Template Name,Question ID,Question,Has File,Question Ordering,Answer,Submit Risk,Subject,Owner,Affected Assets,Sub Questions,Risk Scoring Method,Calculated Risk,Classic-Likelihood,Classic-Impact,CVSS-Attack Vector,CVSS-Attack Complexity,CVSS-Authentication,CVSS-Confidentiality Impact,CVSS-Integrity Impact,CVSS-Availability Impact,CVSS-Exploitability,CVSS-Remediation Level,CVSS-Report Confidence,CVSS-Collateral Damage Potential,CVSS-Target Distribution,CVSS-Confidentiality Requirement,CVSS-Integrity Requirement,CVSS-Availability Requirement,DREAD-Damage Potential,DREAD-Reproducibility,DREAD-Exploitability,DREAD-Affected Users,DREAD-Discoverability,OWASP-Skill Level,OWASP-Motive,OWASP-Opportunity,OWASP-Size,OWASP-Ease of Discovery,OWASP-Ease of Exploit,OWASP-Awareness,OWASP-Intrusion Detection,OWASP-Loss of Confidentiality,OWASP-Loss of Integrity,OWASP-Loss of Availability,OWASP-Loss of Accountability,OWASP-Financial Damage,OWASP-Reputation Damage,OWASP-Non-Compliance,OWASP-Privacy Violation,Custom Value,Contributing Likelihood,Contributing Subjects and Impacts
NIST SP 800-171 DoD Assessment,1,"3.1.1 Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",0,1,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,1,"3.1.1 Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",0,1,No,1,"3.1.1 Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",,,,Custom,5,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,2,"3.1.2 Limit system access to the types of
transactions and functions that authorized
users are permitted to execute.",0,2,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,2,"3.1.2 Limit system access to the types of
transactions and functions that authorized
users are permitted to execute.",0,2,No,1,"3.1.2 Limit system access to the types of
transactions and functions that authorized
users are permitted to execute.",,,,Custom,5,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,3,"3.1.3 Control the flow of CUI in accordance with
approved authorizations.",0,3,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,3,"3.1.3 Control the flow of CUI in accordance with
approved authorizations.",0,3,No,1,"3.1.3 Control the flow of CUI in accordance with
approved authorizations.",,,,Custom,1,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,4,"3.1.4 Separate the duties of individuals to reduce
the risk of malevolent activity without
collusion.",0,4,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,4,"3.1.4 Separate the duties of individuals to reduce
the risk of malevolent activity without
collusion.",0,4,No,1,"3.1.4 Separate the duties of individuals to reduce
the risk of malevolent activity without
collusion.",,,,Custom,1,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,5,"3.1.5 Employ the principle of least privilege,
including for specific security functions and
privileged accounts.",0,5,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,5,"3.1.5 Employ the principle of least privilege,
including for specific security functions and
privileged accounts.",0,5,No,1,"3.1.5 Employ the principle of least privilege,
including for specific security functions and
privileged accounts.",,,,Custom,3,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,6,"3.1.6 Use non-privileged accounts or roles when
accessing non-security functions.",0,6,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,6,"3.1.6 Use non-privileged accounts or roles when
accessing non-security functions.",0,6,No,1,"3.1.6 Use non-privileged accounts or roles when
accessing non-security functions.",,,,Custom,1,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,7,"3.1.7 Prevent non-privileged users from executing
privileged functions and capture the
execution of such functions in audit logs.",0,7,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,7,"3.1.7 Prevent non-privileged users from executing
privileged functions and capture the
execution of such functions in audit logs.",0,7,No,1,"3.1.7 Prevent non-privileged users from executing
privileged functions and capture the
execution of such functions in audit logs.",,,,Custom,1,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,8,3.1.8 Limit unsuccessful logon attempts.,0,8,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,8,3.1.8 Limit unsuccessful logon attempts.,0,8,No,1,3.1.8 Limit unsuccessful logon attempts.,,,,Custom,1,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,9,"3.1.9 Provide privacy and security notices
consistent with applicable CUI rules.",0,9,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,9,"3.1.9 Provide privacy and security notices
consistent with applicable CUI rules.",0,9,No,1,"3.1.9 Provide privacy and security notices
consistent with applicable CUI rules.",,,,Custom,1,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,10,"3.1.10 Use session lock with pattern-hiding displays
to prevent access and viewing of data after a
period of inactivity.",0,10,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,10,"3.1.10 Use session lock with pattern-hiding displays
to prevent access and viewing of data after a
period of inactivity.",0,10,No,1,"3.1.10 Use session lock with pattern-hiding displays
to prevent access and viewing of data after a
period of inactivity.",,,,Custom,1,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
NIST SP 800-171 DoD Assessment,11,"3.1.11 Terminate (automatically) a user session
after a defined condition.",0,11,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
