Questionnaire Template Name,Question ID,Question,Has File,Question Ordering,Answer,Submit Risk,Subject,Owner,Affected Assets,Sub Questions,Risk Scoring Method,Calculated Risk,Classic-Likelihood,Classic-Impact,CVSS-Attack Vector,CVSS-Attack Complexity,CVSS-Authentication,CVSS-Confidentiality Impact,CVSS-Integrity Impact,CVSS-Availability Impact,CVSS-Exploitability,CVSS-Remediation Level,CVSS-Report Confidence,CVSS-Collateral Damage Potential,CVSS-Target Distribution,CVSS-Confidentiality Requirement,CVSS-Integrity Requirement,CVSS-Availability Requirement,DREAD-Damage Potential,DREAD-Reproducibility,DREAD-Exploitability,DREAD-Affected Users,DREAD-Discoverability,OWASP-Skill Level,OWASP-Motive,OWASP-Opportunity,OWASP-Size,OWASP-Ease of Discovery,OWASP-Ease of Exploit,OWASP-Awareness,OWASP-Intrusion Detection,OWASP-Loss of Confidentiality,OWASP-Loss of Integrity,OWASP-Loss of Availability,OWASP-Loss of Accountability,OWASP-Financial Damage,OWASP-Reputation Damage,OWASP-Non-Compliance,OWASP-Privacy Violation,Custom Value,Contributing Likelihood,Contributing Subjects and Impacts
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,1,1.1.1 Is there a formal process for approving and testing all network connections and changes to the firewall and router configurations?,0,1,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,1,1.1.1 Is there a formal process for approving and testing all network connections and changes to the firewall and router configurations?,0,1,Yes with CCW,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,1,1.1.1 Is there a formal process for approving and testing all network connections and changes to the firewall and router configurations?,0,1,No,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,1,1.1.1 Is there a formal process for approving and testing all network connections and changes to the firewall and router configurations?,0,1,N/A,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,1,1.1.1 Is there a formal process for approving and testing all network connections and changes to the firewall and router configurations?,0,1,Not Tested,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,2,"1.1.2(a) Is there a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks?",0,2,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,2,"1.1.2(a) Is there a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks?",0,2,Yes with CCW,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,2,"1.1.2(a) Is there a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks?",0,2,No,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,2,"1.1.2(a) Is there a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks?",0,2,N/A,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,2,"1.1.2(a) Is there a current network diagram that documents all connections between the cardholder data environment and other networks, including any wireless networks?",0,2,Not Tested,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,3,1.1.2(b) Is there a process to ensure the diagram is kept current?,0,3,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,3,1.1.2(b) Is there a process to ensure the diagram is kept current?,0,3,Yes with CCW,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,3,1.1.2(b) Is there a process to ensure the diagram is kept current?,0,3,No,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,3,1.1.2(b) Is there a process to ensure the diagram is kept current?,0,3,N/A,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,3,1.1.2(b) Is there a process to ensure the diagram is kept current?,0,3,Not Tested,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,4,1.1.3(a) Is there a current diagram that shows all cardholder data flows across systems and networks?,0,4,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,4,1.1.3(a) Is there a current diagram that shows all cardholder data flows across systems and networks?,0,4,Yes with CCW,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,4,1.1.3(a) Is there a current diagram that shows all cardholder data flows across systems and networks?,0,4,No,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,4,1.1.3(a) Is there a current diagram that shows all cardholder data flows across systems and networks?,0,4,N/A,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,4,1.1.3(a) Is there a current diagram that shows all cardholder data flows across systems and networks?,0,4,Not Tested,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,5,1.1.3(b) Is there a process to ensure the diagram is kept current?,0,5,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,5,1.1.3(b) Is there a process to ensure the diagram is kept current?,0,5,Yes with CCW,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,5,1.1.3(b) Is there a process to ensure the diagram is kept current?,0,5,No,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,5,1.1.3(b) Is there a process to ensure the diagram is kept current?,0,5,N/A,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,5,1.1.3(b) Is there a process to ensure the diagram is kept current?,0,5,Not Tested,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,6,1.1.4(a) Is a firewall required and implemented at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone?,0,6,Yes,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PCI DSS v3.2.1 Self-Assessment Questionnaire D for Merchants,6,1.1.4(a) Is a firewall required and implemented at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone?,0,6,Yes with CCW,0,,,,,Custom,10,Almost Certain,Extreme/Catastrophic,N,L,N,C,C,C,ND,ND,ND,ND,ND,ND,ND,ND,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
