"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Policy Title,Standard #,Standard Title,SCF #,"Secure Controls Framework (SCF)
Control Description","Relative Control
Weighting (1-10)","Target
Audience",Applicability,Function Grouping,R-AC-1,R-AC-2,R-AC-3,R-AC-4,R-AM-1,R-AM-2,R-BC-1,R-BC-2,R-BC-3,R-BC-4,R-BC-5,R-EX-1,R-EX-2,R-EX-3,R-EX-4,R-EX-5,R-EX-6,R-EX-7,R-GV-1,R-GV-2,R-GV-3,R-GV-4,R-GV-5,R-GV-6,R-GV-7,R-GV-8,R-IR-1,R-IR-2,R-IR-3,R-IR-4,R-SA-1,R-SA-2,
Security & Privacy Governance,GOV-01,Security & Privacy Governance Program ,GOV-01,Mechanisms exist to facilitate the implementation of cybersecurity and privacy governance controls.,10,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security & Privacy Governance,GOV-02,Publishing Security & Privacy Documentation ,GOV-02,"Mechanisms exist to establish, maintain and disseminate cybersecurity and privacy policies, standards and procedures.",10,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security & Privacy Governance,GOV-03,Periodic Review & Update of Security & Privacy Program,GOV-03,"Mechanisms exist to review the cybersecurity and privacy program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness. ",7,Management,Basic,Identify,x,,,,,,,,,x,x,,x,,,x,,,x,x,x,x,x,x,x,x,,,x,,x,x,
Security & Privacy Governance,GOV-04,Assigned Security & Privacy Responsibilities ,GOV-04,"Mechanisms exist to assign a qualified individual with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity and privacy program. ",10,Management,Basic,Identify,x,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security & Privacy Governance,GOV-05,Measures of Performance ,GOV-05,"Mechanisms exist to develop, report and monitor cybersecurity and privacy program measures of performance.",6,Management,Basic,Protect,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,x,x,
Security & Privacy Governance,GOV-05(a),Key Performance Indicators (KPIs),GOV-05.1,"Mechanisms exist to develop, report and monitor Key Performance Indicators (KPIs) to assist organizational management in performance monitoring and trend analysis of the cybersecurity and privacy program.",6,Management,Basic,Protect,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,x,x,
Security & Privacy Governance,GOV-05(b),Key Risk Indicators (KRIs),GOV-05.2,"Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the cybersecurity and privacy program.",6,Management,Basic,Protect,x,,,,,,,,,,,,,,,,,,x,x,,,x,x,,,,,,,x,x,
Security & Privacy Governance,GOV-06,Contacts With Authorities ,GOV-06,Mechanisms exist to identify and document appropriate contacts within relevant law enforcement and regulatory bodies.,5,Management,Basic,Identify,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,
Security & Privacy Governance,GOV-07,Contacts With Groups & Associations ,GOV-07,"Mechanisms exist to establish contact with selected groups and associations within the cybersecurity & privacy communities to: 
 ▪ Facilitate ongoing cybersecurity and privacy education and training for organizational personnel;
 ▪ Maintain currency with recommended cybersecurity and privacy practices, techniques and technologies; and
 ▪ Share current security-related information including threats, vulnerabilities and incidents.
",7,Management,Basic,Identify,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security & Privacy Governance,GOV-08,Defined Business Context & Mission,GOV-08,Mechanisms exist to define the context of its business model and document the mission of the organization.,5,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Security & Privacy Governance,GOV-09,Defined Control Objectives,GOV-09,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization’s internal control system.",5,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Asset Management,AST-01,Asset Governance ,AST-01,Mechanisms exist to facilitate an IT Asset Management (ITAM) program to implement and manage asset management controls.,10,Management,Basic,Identify,,,,x,x,x,x,x,,x,,,,,,,x,x,,x,x,,,,,,x,,,,x,,
Asset Management,AST-01(a),Asset-Service Dependencies,AST-01.1,Mechanisms exist to identify and assess the security of technology assets that support more than one critical business function. ,5,Management,Basic,Identify,,,,x,x,x,x,x,,x,,,,,,,x,,,x,,,,,,,x,,,,x,,
Asset Management,AST-01(b),Stakeholder Identification & Involvement,AST-01.2,"Mechanisms exist to identify and involve pertinent stakeholders of critical systems, applications and services to support the ongoing secure management of those assets.",5,Management,Basic,Identify,,,,,,,x,x,,x,x,,,,,,x,,,x,x,,,,,,x,,,,,,
Asset Management,AST-02,Asset Inventories ,AST-02,"Mechanisms exist to inventory system components that:
 ▪ Accurately reflects the current system; 
 ▪ Is at the level of granularity deemed necessary for tracking and reporting;
 ▪ Includes organization-defined information deemed necessary to achieve effective property accountability; and
 ▪ Is available for review and audit by designated organizational officials.
",10,Management,Basic,Identify,,x,x,x,,x,x,x,x,x,,,,,,,x,,x,x,x,x,x,x,,,x,,x,,,,
Asset Management,AST-02(a),Updates During Installations / Removals,AST-02.1,"Mechanisms exist to update asset inventories as part of component installations, removals and asset upgrades. ",7,Technical,Enhanced,Identify,,,,x,,,,x,,x,,,,,,,,,,x,,,,,,,x,,,,x,,
Asset Management,AST-02(b),Automated Unauthorized Component Detection,AST-02.2,"Automated mechanisms exist to detect and respond to the presence of unauthorized hardware, software and firmware components.",3,Technical,Enhanced,Detect,,,,,,,,,,x,,,,,,,x,,,x,,,,,,,x,,,x,x,,
Asset Management,AST-02(c),Component Duplication Avoidance ,AST-02.3,Mechanisms exist to establish and maintain an authoritative source and repository to provide a trusted source and accountability for approved and implemented system components that prevents assets from being duplicated in other asset inventories,2,Technical,Enhanced,Identify,,,,,,,,x,,,,x,x,x,x,x,x,,,,,,x,x,,,,,,,,,
Asset Management,AST-02(d),Approved Deviations,AST-02.4,Mechanisms exist to track instances of approved deviations from the standardized baseline configuration. ,8,Technical,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,,
Asset Management,AST-02(e),Network Access Control (NAC),AST-02.5,Automated mechanisms exist to employ Network Access Control (NAC) that is capable of detecting unauthorized devices and disable network access to those unauthorized devices.,4,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,,
Asset Management,AST-02(f),Dynamic Host Configuration Protocol (DHCP) Server Logging,AST-02.6,Mechanisms exist to enable Dynamic Host Configuration Protocol (DHCP) server logging to improve asset inventories and assist in detecting unknown systems. ,3,Technical,Enhanced,Identify,,,,x,x,,x,x,,,,x,x,,,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Asset Management,AST-02(g),Software Licensing Restrictions,AST-02.7,Mechanisms exist to ensure compliance with software licensing restrictions.,8,Technical,Basic,Identify,,,x,,x,,,,,x,,x,x,x,x,x,x,x,x,x,x,,x,,,,,,x,,x,,
Asset Management,AST-02(h),Data Action Mapping,AST-02.8,"Mechanisms exist to create and maintain a map of systems of where sensitive data is stored, transmitted or processed.",10,Management,Basic,Identify,,,,x,,x,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,,x,,
Asset Management,AST-02(i),Configuration Management Database (CMDB),AST-02.9,"Mechanisms exist to implement and manage a Configuration Management Database (CMDB), or similar technology, to collect and manage asset-specific information.",5,Technical,Enhanced,Identify,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Asset Management,AST-03,Assigning Ownership of Assets ,AST-03,"Mechanisms exist to assign asset ownership responsibilities to a department, team or individual that establishes a common understanding of requirements to protect assets.",8,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Asset Management,AST-03(a),Accountability Information,AST-03.1,"Mechanisms exist to include capturing the name, position and/or role of individuals responsible/accountable for administering assets as part of the asset inventory process.",5,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Asset Management,AST-04,Network Diagrams & Data Flow Diagrams (DFDs),AST-04,"Mechanisms exist to maintain network architecture diagrams that: 
 ▪ Contain sufficient detail to assess the security of the network's architecture;
 ▪ Reflect the current state of the network environment; and
 ▪ Document all sensitive data flows.",10,Technical,Basic,Identify,x,x,,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Asset Management,AST-05,Security of Assets & Media,AST-05,Mechanisms exist to maintain strict control over the internal or external distribution of any kind of sensitive media. ,8,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Asset Management,AST-06,Unattended End-User Equipment ,AST-06,Mechanisms exist to implement enhanced protection measures for unattended systems to protect against tampering and unauthorized access.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Asset Management,AST-06(a),Asset Storage In Automobiles,AST-06.1,"Mechanisms exist to educate users on the need to physically secure laptops and other mobile devices out of site when traveling, preferably in the trunk of a vehicle.",10,All Users,Basic,Protect,x,x,,x,x,,x,x,x,,x,x,x,,x,,,x,x,x,x,x,,,,,,,,x,,,
Asset Management,AST-07,Kiosks & Point of Sale (PoS) Devices,AST-07,Mechanisms exist to protect devices that capture sensitive data via direct physical interaction from tampering and substitution. ,10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Asset Management,AST-08,Tamper Detection,AST-08,Mechanisms exist to inspect mobile devices for evidence of tampering upon return from geographic regions of concern or other known hostile environments that could lead to device compromise.,9,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Asset Management,AST-09,Secure Disposal or Re-Use of Equipment ,AST-09,Mechanisms exist to securely destroy media when it is no longer needed for business or legal reasons. ,10,Technical,Basic,Identify,x,x,,x,x,,x,x,,,x,x,x,,x,x,,x,x,x,x,x,,,,,,,,x,,,
Asset Management,AST-10,Return of Assets ,AST-10,"Mechanisms exist to ensure that employees and third-party users return all organizational assets in their possession upon termination of employment, contract or agreement.",10,All Users,Basic,Protect,x,x,,x,x,,,,,,x,x,x,,x,x,,x,x,x,x,x,,,,,x,,,x,,,
Asset Management,AST-11,Removal of Assets ,AST-11,"Mechanisms exist to authorize, control and track systems entering and exiting organizational facilities. ",8,All Users,Basic,Protect,x,x,,x,x,,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,,,,,x,,,x,,,
Asset Management,AST-12,Use of Personal Devices,AST-12,Mechanisms exist to restrict the possession and usage of personally-owned technology devices within organization-controlled facilities.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Asset Management,AST-13,Use of Third-Party Devices,AST-13,Mechanisms exist to reduce the risk associated with third-party assets that are attached to the network from harming organizational assets or exfiltrating organizational data.,10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Asset Management,AST-14,Usage Parameters,AST-14,"Mechanisms exist to enforce and monitor usage parameters that limit the potential damage caused from the unauthorized alteration of system parameters. 
",7,Technical,Basic,Identify,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,x,x,x,,,
Asset Management,AST-15,Tamper Protection,AST-15,"Mechanisms exist to validate the integrity of configuration settings of critical systems, system components or services throughout all phases of the Secure Development Life Cycle (SDLC).",6,Technical,Basic,Protect,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,,x,x,,x,x,,
Asset Management,AST-15(a),"Inspection of Systems, Components & Devices ",AST-15.1,Mechanisms exist to physically and logically inspect critical systems to detect evidence of tampering. ,6,Technical,Basic,Detect,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,,x,x,,x,x,,
Asset Management,AST-16,Bring Your Own Device (BYOD) Usage ,AST-16,Mechanisms exist to implement and govern a Bring Your Own Device (BYOD) program to reduce risk associated with personally-owned devices in the workplace.,10,All Users,Basic,Identify,x,,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,
Business Continuity & Disaster Recovery,BCD-01,Business Continuity Management System (BCMS),BCD-01,Mechanisms exist to facilitate the implementation of contingency planning controls to help ensure resilient assets and services.,10,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,x,,
Business Continuity & Disaster Recovery,BCD-01(a),Coordinate with Related Plans ,BCD-01.1,Mechanisms exist to coordinate contingency plan development with internal and external elements responsible for related plans. ,5,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,x,,
Business Continuity & Disaster Recovery,BCD-01(b),Coordinate With External Service Providers,BCD-01.2,Mechanisms exist to coordinate internal contingency plans with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.,5,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,x,,
Business Continuity & Disaster Recovery,BCD-01(c),Transfer to Alternate Processing / Storage Site,BCD-01.3,Mechanisms exist to redeploy personnel to other roles during a disruptive event or in the execution of a continuity plan.,5,Technical,Enhanced,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-01(d),Recovery Time / Point Objectives (RTO / RPO),BCD-01.4,Mechanisms exist to configure the alternate storage site to facilitate recovery operations in accordance with Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs).,5,Technical,Enhanced,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-02,Identify Critical Assets ,BCD-02,"Mechanisms exist to identify and document the critical systems, applications and services that support essential missions and business functions.",9,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-02(a),Resume All Missions & Business Functions,BCD-02.1,Mechanisms exist to resume all missions and business functions within Recovery Time Objectives (RTOs) of the contingency plan's activation.,8,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-02(b),Continue Essential Mission & Business Functions,BCD-02.2,Mechanisms exist to continue essential missions and business functions with little or no loss of operational continuity and sustain that continuity until full system restoration at primary processing and/or storage sites.,8,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-02(c),Resume Essential Missions & Business Functions ,BCD-02.3,Mechanisms exist to resume essential missions and business functions within an organization-defined time period of contingency plan activation. ,8,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-03,Contingency Training,BCD-03,Mechanisms exist to train applicable contingency personnel in their contingency roles and responsibilities. ,5,Management,Basic,Recover,,,,,,,,,,,,,x,,,x,,,x,x,x,x,x,x,x,,,,x,,x,x,
Business Continuity & Disaster Recovery,BCD-03(a),Simulated Events,BCD-03.1,Mechanisms exist to incorporate simulated events into contingency training to facilitate effective response by personnel in crisis situations.,3,Management,Enhanced,Recover,,,,,,,,,,,,,x,,,x,,,x,x,x,x,x,x,x,,,,x,,x,x,
Business Continuity & Disaster Recovery,BCD-03(b),Automated Training Environments,BCD-03.2,Automated mechanisms exist to provide a more thorough and realistic contingency training environment.,1,Management,Enhanced,Recover,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,x,,x,x,
Business Continuity & Disaster Recovery,BCD-04,Contingency Plan Testing & Exercises ,BCD-04,Mechanisms exist to conduct tests and/or exercises to determine the contingency plan's effectiveness and the organization’s readiness to execute the plan. ,6,Management,Basic,Recover,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,x,,x,x,
Business Continuity & Disaster Recovery,BCD-04(a),Coordinated Testing with Related Plans ,BCD-04.1,Mechanisms exist to coordinate contingency plan testing with internal and external elements responsible for related plans. ,3,Management,Basic,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,x,,
Business Continuity & Disaster Recovery,BCD-04(b),Alternate Storage & Processing Sites,BCD-04.2,Mechanisms exist to test the contingency plan at the alternate processing site to both familiarize contingency personnel with the facility and evaluate the capabilities of the alternate processing site to support contingency operations. ,5,Management,Enhanced,Recover,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,x,x,,,
Business Continuity & Disaster Recovery,BCD-05,Contingency Plan Root Cause Analysis (RCA) & Lessons Learned,BCD-05,"Mechanisms exist to conduct a Root Cause Analysis (RCA) and ""lessons learned"" activity every time the contingency plan is activated.",9,Management,Basic,Detect,,,,,,,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,,
Business Continuity & Disaster Recovery,BCD-06,Contingency Planning & Updates,BCD-06,Mechanisms exist to keep contingency plans current with business needs and technology changes. ,10,Management,Basic,Recover,,,,,,,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,x,x,x,,
